id,name,subject,subject_abbreviation,total_students,avg_gpa
1,19&20 C Russian Lit Tran I,Literature in Translation,LITTRANS,755,3.605858855
2,19&20 C Russian Lit Tran II,Literature in Translation,LITTRANS,511,3.625246548
3,19&20th C Russn Lit Tran I,Literature in Translation,LITTRANS,546,3.380863039
4,19th C Painting in Europe,Art History,ART HIST,175,3.368217054
5,1st Semester Portuguese,Portuguese (Spanish and Portuguese),PORTUG,818,3.080745342
6,1st Semester Russian,Slavic (Slavic Languages),SLAVIC,923,3.408342481
7,1st Yr Classical Chinese,East Asian Languages and Literature,E ASIAN,567,3.449458484
8,1st-Yr Seminar: Humanities,Interdisciplinary Courses (L&S),INTER-LS,447,3.496636771
9,20th Century Art in Europe,Art History,ART HIST,250,3.244186047
10,2nd Semester Portuguese,Portuguese (Spanish and Portuguese),PORTUG,483,3.086278586
11,2nd Semester Russian,Slavic (Slavic Languages),SLAVIC,508,3.519153226
12,3D Digital Studio I,Art Department,ART,144,3.597902098
13,3D Digital Studio II,Art Department,ART,62,3.5
14,3rd Semester Portuguese,Portuguese (Spanish and Portuguese),PORTUG,346,3.240524781
15,5th Semester Japanese,East Asian Languages and Literature,E ASIAN,395,3.446614583
16,A History of Greek Civ,History,HISTORY,425,3.460297767
17,A History of Rome,History,HISTORY,1403,3.398419865
18,A Modern Intro to Physics,Physics,PHYSICS,1550,3.210234681
19,A Wisconsin Experience Seminar,Counseling Psychology,COUN PSY,2849,3.868846695
20,Abnormal Psychology,Psychology,PSYCH,6259,2.838173604
21,Abstract Algebra,Mathematics,MATH,437,3.589534884
22,Acad Instr:Learn & Behav Disab,Rehabilitation Psychology and Special Education,RP & SE,155,3.716129032
23,Academic Writing II,English as a Second Language,ESL,1775,3.511575381
24,Acc Intro to Stat Meth,Statistics,STAT,522,3.272552783
25,Accounting Principles,Accounting and Information Systems,ACCT I S,4067,3.174418605
26,Accounting Systems,Accounting and Information Systems,ACCT I S,1958,3.337506387
27,Acctg&Finance - Non-Bus Majors,General Business,GEN BUS,2026,3.179130874
28,Acting Realism,Theatre and Drama,THEATRE,269,3.706319703
29,Actuarial Mathematics I,Actuarial Science,ACT SCI,950,3.116931217
30,Actuarial Mathematics II,Actuarial Science,ACT SCI,633,3.239649682
31,Acute Pharmaceut Care Clerkshp,Pharmacy Practice,PHM PRAC,1009,3.802186879
32,Administrative Law,La Follette School of Public Affairs,PUB AFFR,552,3.226579521
33,Administrative Law,Law,LAW,552,3.226579521
34,Administrative Law,Political Science,POLI SCI,552,3.226579521
35,Adult Developmnt & Aging,Psychology,PSYCH,576,2.901408451
36,Adv Composition & Conversation,French (French and Italian),FRENCH,454,3.495575221
37,Adv Concepts-Nurs Practice,Nursing,NURSING,1725,3.428695652
38,Adv Lab Techniques - Microbio,Microbiology,MICROBIO,190,3.65
39,Adv Mech of Materials I,Engineering Mechanics and Astronautics,E M A,564,2.776386404
40,Adv Mech Testing-Materials,Engineering Mechanics and Astronautics,E M A,186,3.705405405
41,Adv Seminar in German Studies,German,GERMAN,232,3.439393939
42,Adv Smr in LGBT St (Capstone),Gender and Women’s Studies,GEN&WS,188,3.715053763
43,Adv Study of Young Child,Human Development and Family Studies,HDFS,192,3.626315789
44,Adv Typography&Graphic Dsgn,Art Department,ART,132,3.301526718
45,Advanced Bioinformatics,Biostatistics and Medical Informatics,B M I,135,3.570895522
46,Advanced Bioinformatics,Computer Sciences,COMP SCI,135,3.570895522
47,Advanced Calculus,Mathematics,MATH,601,3.063559322
48,Advanced Consumer Finance,Consumer Science,CNSR SCI,482,3.11954262
49,Advanced Conversation,Spanish (Spanish and Portuguese),SPANISH,1748,3.607517483
50,Advanced Dynamics,Engineering Mechanics and Astronautics,E M A,478,2.727941176
51,Advanced General Chemistry,Chemistry,CHEM,8675,3.242091896
52,Advanced Genetics,Genetics,GENETICS,756,3.440508021
53,Advanced Inorganic Chemistry,Chemistry,CHEM,61,3.344262295
54,Advanced Language Practice,Spanish (Spanish and Portuguese),SPANISH,4535,3.574771562
55,Advanced Organic Chemistry,Chemistry,CHEM,1289,3.359746434
56,Advanced Seminar in History,History,HISTORY,3304,3.543713315
57,Advanced Smr in Women's St,Gender and Women’s Studies,GEN&WS,235,3.65720524
58,Aerodynamics,Engineering Mechanics and Astronautics,E M A,490,2.735655738
59,Aesthetics,Philosophy,PHILOS,133,3.027777778
60,Africa: Introductory Survey,African Languages and Literature,AFRICAN,4326,3.194444444
61,Africa: Introductory Survey,Afro-American Studies,AFROAMER,4326,3.194444444
62,Africa: Introductory Survey,Anthropology,ANTHRO,4326,3.194444444
63,Africa: Introductory Survey,Geography,GEOG,4326,3.194444444
64,Africa: Introductory Survey,History,HISTORY,4326,3.194444444
65,Africa: Introductory Survey,Political Science,POLI SCI,4326,3.194444444
66,Africa: Introductory Survey,Sociology,SOC,4326,3.194444444
67,African American Families,Afro-American Studies,AFROAMER,248,3.691056911
68,African American Families,Human Development and Family Studies,HDFS,248,3.691056911
69,African American Families,Social Work,SOC WORK,248,3.691056911
70,African Dance,Dance,DANCE,1118,3.90407785
71,African Intl Relations,Political Science,POLI SCI,566,3.014440433
72,African Lit in Translation,African Languages and Literature,AFRICAN,169,3.50621118
73,African Politics,Political Science,POLI SCI,334,3.421450151
74,Africans in Americas 1492-1808,History,HISTORY,364,3.130311615
75,Afro-Atlantic Hist 1808-Presnt,History,HISTORY,386,3.223262032
76,"Ag, Food Syst, & Rural Dev",Farm & Industry Short Course,FISC,45,3.066666667
77,Ag&Soc Change-Western Hist,Community and Environmental Sociology,C&E SOC,385,3.324933687
78,Ag&Soc Change-Western Hist,History of Science,HIST SCI,385,3.324933687
79,Agri & Econ Development-Africa,Agricultural and Applied Economics,A A E,309,3.101328904
80,Agri & Econ Development-Africa,Economics,ECON,309,3.101328904
81,Agricultural Finance,Agricultural and Applied Economics,A A E,451,3.5234375
82,Agroecology of Food and Ag,Agroecology,AGROECOL,65,3.4
83,Agroecology of Food and Ag,Agronomy,AGRONOMY,65,3.4
84,Agroecology of Food and Ag,Community and Environmental Sociology,C&E SOC,65,3.4
85,Agroecology of Food and Ag,Entomology,ENTOM,65,3.4
86,Agroecology of Food and Ag,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,65,3.4
87,Alcohol & Other Drug Abuse,Social Work,SOC WORK,2403,3.49086661
88,Algebra,Mathematics,MATH,7700,2.624332074
89,Algebra and Trigonometry,Mathematics,MATH,4687,2.750482315
90,All-Univ String Orchestra,Music,MUSIC,4484,3.966346154
91,Am Dec Arts & Int: 1620-1840,Art History,ART HIST,276,3.194029851
92,Am Dec Arts & Int: 1620-1840,Design Studies,DS,276,3.194029851
93,Am Film Inds-Studio Sys Era,Communication Arts,COM ARTS,225,3.198660714
94,Am Indians-Contemporary Soc,American Indian Studies,AMER IND,27,2.777777778
95,Am Indians-Contemporary Soc,Community and Environmental Sociology,C&E SOC,27,2.777777778
96,Am Indians-Contemporary Soc,Sociology,SOC,27,2.777777778
97,Am Labor Hist: 1900-Present,History,HISTORY,272,3.676470588
98,Am Racial&Ethnic Minorities,Sociology,SOC,9468,3.354298255
99,Amer Arch: Colonial&Federal,Art History,ART HIST,44,2.8
100,Amer Environmental History,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,2195,3.450073064
101,Amer Environmental History,Geography,GEOG,2195,3.450073064
102,Amer Environmental History,History,HISTORY,2195,3.450073064
103,Amer Foreign Rel-1901 on,History,HISTORY,865,3.412048193
104,Amer Hist to Civil War Era,History,HISTORY,2498,3.333816225
105,Amer Hist-Civil War-Present,History,HISTORY,3075,3.278468257
106,Amer Histories: 19th Century,History,HISTORY,499,3.223577236
107,Amer Politics & Government,Political Science,POLI SCI,320,2.911949686
108,Amer Soc: How It Really Works,Sociology,SOC,2001,3.157548126
109,American Business History,History,HISTORY,415,3.255667506
110,American Cinema Since 1970,Communication Arts,COM ARTS,629,3.093548387
111,American Dreamers,English,ENGL,137,3.231343284
112,American Indian Affairs,American Indian Studies,AMER IND,80,3.556962025
113,American Indian Affairs,Social Work,SOC WORK,80,3.556962025
114,American Indian History,American Indian Studies,AMER IND,256,3.470711297
115,American Indian History,History,HISTORY,256,3.470711297
116,American Indian Women,American Indian Studies,AMER IND,100,3.343434343
117,American Indian Women,Anthropology,ANTHRO,100,3.343434343
118,American Indian Women,Folklore Program,FOLKLORE,100,3.343434343
119,American Indian Women,Gender and Women’s Studies,GEN&WS,100,3.343434343
120,American Indians in Film,American Indian Studies,AMER IND,199,3.578125
121,American Judicial System,Political Science,POLI SCI,396,3.273417722
122,American Legal History to 1860,History,HISTORY,244,3.017467249
123,American Legal History to 1860,Legal Studies,LEGAL ST,244,3.017467249
124,American Legal History to Pres,History,HISTORY,243,3.212328767
125,American Legal History to Pres,Legal Studies,LEGAL ST,243,3.212328767
126,American Literature,ENGLISH,ENGLISH,2206,3.316270567
127,American Military History,Military Science,MIL SCI,92,3.679347826
128,American Rev 1763-1789,History,HISTORY,606,3.199318569
129,American West Since 1850,Chicana/o and Latina/o Studies,CHICLA,1251,3.39135906
130,American West Since 1850,History,HISTORY,1251,3.39135906
131,Anal of Internatl Relations,Political Science,POLI SCI,623,2.881451613
132,Analysis I,Mathematics,MATH,1325,2.974349158
133,Analysis II,Mathematics,MATH,338,3.155015198
134,Analysis of Software Artifacts,Computer Sciences,COMP SCI,172,3.674556213
135,Analysis-Capital Investment,Industrial and Systems Engineering,I SY E,87,3.2
136,Analysis-Capital Investment,Mechanical Engineering,M E,87,3.2
137,Analytical Methods for EM Engr,Electrical and Computer Engineering,E C E,1034,3.794573643
138,Analytical Public Finance,Economics,ECON,719,3.098463687
139,Ancient and Medieval Art,Art History,ART HIST,1757,3.040754258
140,Ancient&Medvl West Thought,Political Science,POLI SCI,401,3.27625
141,Animal Behavior,Psychology,PSYCH,1357,2.809347181
142,Animal Behavior-Primates,Psychology,PSYCH,2610,3.187789799
143,Animal Biology,Biology,BIOLOGY,16653,2.508272947
144,Animal Biology,Zoology,ZOOLOGY,16653,2.508272947
145,Animal Biology Laboratory,Biology,BIOLOGY,9394,3.39449297
146,Animal Biology Laboratory,Zoology,ZOOLOGY,9394,3.39449297
147,Animal Comm & Orig of Lang,Psychology,PSYCH,126,3.23015873
148,Animal Comm & Orig of Lang,Zoology,ZOOLOGY,126,3.23015873
149,Animal Feeds&Diet Formulatn,Animal Sciences,AN SCI,313,3.626213592
150,Animal Feeds&Diet Formulatn,Dairy Science,DY SCI,313,3.626213592
151,Animated & Web-based Mapping,Geography,GEOG,101,3.454081633
152,Anime,East Asian Languages and Literature,E ASIAN,140,3.338345865
153,Anime,Literature in Translation,LITTRANS,140,3.338345865
154,Anthropology and Education,Anthropology,ANTHRO,334,3.681957187
155,Anthropology and Education,Educational Policy Studies,ED POL,334,3.681957187
156,Anthropology of Law,Anthropology,ANTHRO,118,3.306034483
157,Anthropology of Religion,Anthropology,ANTHRO,243,3.603448276
158,Anthropology of Religion,Religious Studies,RELIG ST,243,3.603448276
159,Appl Categorical Data Anal,Statistics,STAT,306,3.328947368
160,"Appl Dyn Sys, Chaos&Modelng",Mathematics,MATH,298,3.284246575
161,Appl Mathematical Analysis,Mathematics,MATH,1572,2.615061409
162,Applictn of GIS:Natrl Rsrcs,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,308,3.27704918
163,Applictn of GIS:Natrl Rsrcs,Landscape Architecture,LAND ARC,308,3.27704918
164,Applictn of GIS:Natrl Rsrcs,Soil Science,SOIL SCI,308,3.27704918
165,Applied Communications Sys,Electrical and Computer Engineering,E C E,100,3.43
166,Applied Linear Algebra,Mathematics,MATH,225,3.382882883
167,Applied Regression Analysis,Statistics,STAT,694,3.326923077
168,Arab-Israeli Conflict,Political Science,POLI SCI,120,3.184684685
169,Archaeol of Eastern N Amer,American Indian Studies,AMER IND,73,3.086956522
170,Archaeol of Eastern N Amer,Anthropology,ANTHRO,73,3.086956522
171,Archaeology & Prehist World,Anthropology,ANTHRO,2555,2.773349436
172,Archaeology of Wisconsin,American Indian Studies,AMER IND,175,3.262048193
173,Archaeology of Wisconsin,Anthropology,ANTHRO,175,3.262048193
174,Architectural Graphics,Mechanical Engineering,M E,1036,3.484863281
175,Arithmetical Problm Solving,Mathematics,MATH,396,3.077411168
176,Art & Archaeology-Ancient Rome,Art History,ART HIST,650,3.218076285
177,Art & Archaeology-Ancient Rome,Classics,CLASSICS,650,3.218076285
178,Art and Power in Arab World,Art History,ART HIST,51,3.25
179,Art Metal I,Art Department,ART,305,3.513559322
180,Art&Archaeology-Ancient Greece,Art History,ART HIST,731,3.180945347
181,Art&Archaeology-Ancient Greece,Classics,CLASSICS,731,3.180945347
182,Artistc/Cult Image-Bl Women,Afro-American Studies,AFROAMER,194,3.182065217
183,Artistc/Cult Image-Bl Women,Gender and Women’s Studies,GEN&WS,194,3.182065217
184,Arts in 16th Century Italy,Art History,ART HIST,169,3
185,Asian Am Hist:Movmnt&Dislocatn,Asian American Studies,ASIAN AM,1551,3.646023468
186,Asian Am Hist:Movmnt&Dislocatn,History,HISTORY,1551,3.646023468
187,Asian American Movement,Asian American Studies,ASIAN AM,613,3.807248764
188,Asian American Movement,Dance,DANCE,613,3.807248764
189,AsianAm His:Settlmnt&Belonging,Asian American Studies,ASIAN AM,1317,3.641647421
190,AsianAm His:Settlmnt&Belonging,History,HISTORY,1317,3.641647421
191,Astrodynamics,Astronomy,ASTRON,303,3.353135314
192,Astrodynamics,Engineering Mechanics and Astronautics,E M A,303,3.353135314
193,Atmspherc Envirnmnt&Society,Atmospheric and Oceanic Sciences,ATM OCN,956,3.219178082
194,Atmspherc Envirnmnt&Society,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,956,3.219178082
195,Atmspherc Envirnmnt&Society,Geography,GEOG,956,3.219178082
196,Atomic and Quantum Physics,Physics,PHYSICS,812,3.149044586
197,Audit and Assurance Services,Accounting and Information Systems,ACCT I S,1890,3.336334746
198,Auditory Rehabilitation,Communication Sciences and Disorders,CS&D,903,3.702104097
199,Automatic Controls,Mechanical Engineering,M E,393,3.086118252
200,Backstage Laboratory II,Theatre and Drama,THEATRE,230,3.865044248
201,Badminton I,PHYSICAL EDUC ACTIVITY PROGM,PE ACTIV,275,3.332599119
202,Balkans & Mid E: 1700-1918,History,HISTORY,97,3.017241379
203,Ballet Technique III,Dance,DANCE,156,3.639072848
204,Ballroom Dance I,Dance,DANCE,1766,3.828246559
205,Ballroom Dance II,Dance,DANCE,368,3.794985251
206,Ballroom Dancing,Dance,DANCE,2564,3.828715919
207,Bank Management,"Finance, Investment and Banking",FINANCE,1747,3.366493656
208,Bascom Course,Art Department,ART,649,3.528571429
209,Bascom Course,Communication Arts,COM ARTS,649,3.528571429
210,Bascom Course,Economics,ECON,649,3.528571429
211,Bascom Course,English,ENGL,649,3.528571429
212,Bascom Course,ENGLISH,ENGLISH,649,3.528571429
213,Bascom Course,German,GERMAN,649,3.528571429
214,Bascom Course,Jewish Studies,JEWISH,649,3.528571429
215,Bascom Course,Languages and Cultures of Asia,LCA,649,3.528571429
216,Bascom Course,Linguistics,LINGUIS,649,3.528571429
217,Bascom Course,Music,MUSIC,649,3.528571429
218,Bascom Course,Sociology,SOC,649,3.528571429
219,Basic & Applied Insect Ecology,Entomology,ENTOM,34,3.455882353
220,Basic Communication,Engineering Professional Development,E P D,4066,3.4200345
221,Basic Concepts of Math,Mathematics,MATH,227,3.165198238
222,Basic Concepts-Music Theory,Music,MUSIC,1867,3.485074627
223,Basic Leadership,Military Science,MIL SCI,594,3.875634518
224,Basic Stats for Psychology,Psychology,PSYCH,5902,2.673528411
225,Basketball I,PHYSICAL EDUC ACTIVITY PROGM,PE ACTIV,285,3.682835821
226,Beginning Swimming,PHYSICAL EDUC ACTIVITY PROGM,PE ACTIV,223,3.799479167
227,Behavior Pathology:Neuroses,Psychology,PSYCH,1180,3.253218884
228,Behavioral Ecology,Zoology,ZOOLOGY,458,3.064835165
229,Behavioral Neuroscience,Psychology,PSYCH,779,3.355943152
230,Bhv Pathology-Psychoses,Psychology,PSYCH,432,3.040572792
231,Biblical Poetry in Translation,HEBREW,HEBR ST,82,3.1875
232,Biblical Poetry in Translation,Jewish Studies,JEWISH,82,3.1875
233,Biblical Poetry in Translation,Literature in Translation,LITTRANS,82,3.1875
234,Biblical Poetry in Translation,Religious Studies,RELIG ST,82,3.1875
235,"Bio,Psych,&Voc Aspt-Disabil",Rehabilitation Psychology and Special Education,RP & SE,695,3.851878613
236,Biochemical Methods,Biochemistry,BIOCHEM,1679,3.308014354
237,Biochm Prin-Human&Anml Nutr,Biochemistry,BIOCHEM,1362,3.185745938
238,Biochm Prin-Human&Anml Nutr,Nutritional Sciences,NUTR SCI,1362,3.185745938
239,Biofluidics,Biomedical Engineering,B M E,115,3.290178571
240,Bioinstrumentation,Biomedical Engineering,B M E,721,3.428571429
241,Biol Interactions w/ Materials,Biomedical Engineering,B M E,904,3.284683685
242,Biol Interactions w/ Materials,Pharmaceutical Sciences,PHM SCI,904,3.284683685
243,Biol Sys Eng Dsgn Practicum II,Biological Systems Engineering,BSE,277,3.263157895
244,Biol Sys Engr Dsgn Practicum I,Biological Systems Engineering,BSE,255,3.539525692
245,Biol&Apprec-Companion Anmls,Animal Sciences,AN SCI,3074,2.892751722
246,"Biology & Society, 1950-Today",History of Science,HIST SCI,732,3.369595537
247,"Biology & Society, 1950-Today",Medical History and Bioethics,MED HIST,732,3.369595537
248,Biology of Microorganisms,Microbiology,MICROBIO,5186,2.908967917
249,Biology of Microorganisms Lab,Microbiology,MICROBIO,3075,3.212516297
250,Biology of Plant Pathogens,Plant Pathology,PL PATH,67,3.576923077
251,Biology of Viruses,Biochemistry,BIOCHEM,849,3.176996424
252,Biology of Viruses,Medical Microbiology and Immunology,M M & I,849,3.176996424
253,Biomechanics,Biomedical Engineering,B M E,949,3.396808511
254,Biomechanics,Kinesiology,KINES,949,3.396808511
255,Biomechanics of Human Movement,Biomedical Engineering,B M E,1040,3.320981713
256,Biomechanics of Human Movement,Kinesiology,KINES,1040,3.320981713
257,Biomechanics of Human Movement,Mechanical Engineering,M E,1040,3.320981713
258,Biophysical Chemistry,Biochemistry,BIOCHEM,1722,3.120478413
259,Biophysical Chemistry,Chemistry,CHEM,1722,3.120478413
260,Birds of Southern Wisconsin,Animal Sciences,AN SCI,565,3.361111111
261,Birds of Southern Wisconsin,Forest and Wildlife Ecology,F&W ECOL,565,3.361111111
262,Birds of Southern Wisconsin,Zoology,ZOOLOGY,565,3.361111111
263,Black Feminisms,Afro-American Studies,AFROAMER,202,3.385572139
264,Black Feminisms,Gender and Women’s Studies,GEN&WS,202,3.385572139
265,Black Music&Am Cultrl Hist,Afro-American Studies,AFROAMER,5012,3.677814707
266,Blacks in Cities,Afro-American Studies,AFROAMER,32,2.40625
267,Blacks in Cities,Sociology,SOC,32,2.40625
268,"Bodies, Diseases, and Healers",History of Science,HIST SCI,769,3.388963661
269,"Bodies, Diseases, and Healers",Medical History and Bioethics,MED HIST,769,3.388963661
270,Bones for the Archaeologist,Anthropology,ANTHRO,130,3.248031496
271,Bowling I,PHYSICAL EDUC ACTIVITY PROGM,PE ACTIV,495,3.552112676
272,Braided Hists. Abrahamic Rels.,History,HISTORY,115,3.170454545
273,Braided Hists. Abrahamic Rels.,Religious Studies,RELIG ST,115,3.170454545
274,British and American Writers,English,ENGL,344,3.446587537
275,British Hist: 1688-Present,History,HISTORY,694,3.390718563
276,British Literature Before 1750,ENGLISH,ENGLISH,2238,3.219874101
277,British&Anglo Lit 1750-Present,ENGLISH,ENGLISH,2135,3.301837889
278,Buddhism&Soc-SE Asian Hist,History,HISTORY,99,3.152173913
279,Buddhism&Soc-SE Asian Hist,Languages and Cultures of Asia,LCA,99,3.152173913
280,Buddhism&Soc-SE Asian Hist,Religious Studies,RELIG ST,99,3.152173913
281,Business Analytics I,General Business,GEN BUS,1528,3.048461035
282,Business Analytics II,General Business,GEN BUS,1246,3.293739968
283,Business Law,General Business,GEN BUS,8556,3.019725151
284,Business Logistics Analysis,Operations and Technology Management,OTM,191,3.384210526
285,Business Organizations I,Law,LAW,816,3.288856305
286,Business Statistics,General Business,GEN BUS,3185,3.020826759
287,CAD: Architecture&Interiors,Design Studies,DS,185,3.767567568
288,Calc with Algebra & Trig I,Mathematics,MATH,4899,2.738173254
289,Calc with Algebra & Trig II,Mathematics,MATH,3474,2.634959584
290,Calc--Functns of Variables,Mathematics,MATH,17479,2.867070788
291,Calc/Intro-Differntl Equats,Mathematics,MATH,3201,3.110745614
292,Calculus,Mathematics,MATH,9393,2.849438803
293,Calculus&Analytic Geometry,Mathematics,MATH,16624,2.692943804
294,Calculus&Analytic Geometry 1,Mathematics,MATH,10688,2.924351991
295,Calculus&Analytic Geometry 2,Mathematics,MATH,10323,2.8095609
296,Campaign Finance,Political Science,POLI SCI,603,3.177835052
297,Capstone Integration Seminar,Integrated Liberal Studies,ILS,337,3.771771772
298,Career Orientation,PROFESSIONAL ORIENTATION,PRO OR,249,3.788934426
